Timestamp,ID,Lng,Lat,SINR,CQI,Route Distance
1,4,-103.0181742,48.0103441,9.752849507856528,8,18.0
1,9,-103.0083623,48.0172174,15.884132805768239,12,18.0
1,8,-103.0195084,48.016406,14.101319745337062,11,18.0
1,7,-103.0069657,48.0142629,15.410345243291705,12,18.0
1,2,-103.0192935,48.0171324,9.040478521136164,8,72.0
1,1,-103.0109444,48.0154367,9.930728143008384,8,18.0
1,6,-103.0071745,48.0122074,10.616500155259656,9,18.0
1,3,-103.0162331,48.0114655,9.840961352317596,8,18.0
1,10,-103.0100873,48.0172502,15.632971476535717,12,18.0
1,5,-103.0180103,48.0130263,9.554519264367704,8,18.0
2,7,-103.0069657,48.0144248,15.44404591407462,12,36.0
2,2,-103.0192935,48.0169705,14.258618881167118,11,90.0
2,9,-103.0083623,48.0170555,15.851893516916727,12,36.0
2,3,-103.0162331,48.0116274,13.776279543007268,11,36.0
2,1,-103.0109444,48.0152748,15.140306344804436,12,36.0
2,6,-103.0071745,48.0123693,14.992516491074223,11,36.0
2,10,-103.0100873,48.0170883,15.602424333221869,12,36.0
2,5,-103.0180103,48.0131882,13.811526216331206,11,36.0
2,4,-103.0181742,48.010506,13.373080805329378,11,36.0
3,2,-103.0192935,48.0168086,14.235385717042881,11,108.0
3,7,-103.0069657,48.0145867,15.477759971966831,12,54.0
3,3,-103.0162331,48.0117893,13.802785883254742,11,54.0
3,10,-103.0100873,48.0169265,15.571840917610997,12,54.0
3,4,-103.0181742,48.0106678,13.398449702847085,11,54.0
3,1,-103.0109444,48.0151129,15.110189903173136,11,54.0
3,9,-103.0083623,48.0168936,15.819627700250278,12,54.0
3,6,-103.0071745,48.0125311,15.025789599359367,11,54.0
3,5,-103.0180103,48.0133501,13.836684706428485,11,54.0
4,1,-103.0109444,48.014951,15.110189903173136,11,72.0
4,7,-103.0069657,48.0147486,15.477759971966831,12,72.0
4,5,-103.0180103,48.013512,13.836684706428485,11,72.0
4,2,-103.0192935,48.0159992,14.235385717042881,11,198.0
4,3,-103.0162331,48.0119512,13.802785883254742,11,72.0
4,9,-103.0083623,48.0167317,15.819627700250278,12,72.0
4,10,-103.0100873,48.0167646,15.571840917610997,12,72.0
4,6,-103.0071745,48.012693,15.025789599359367,11,72.0
4,8,-103.0195084,48.0165679,14.124672004008529,11,36.0
4,4,-103.0181742,48.0108297,13.398449702847085,11,72.0
5,9,-103.0083623,48.0165698,15.755023981298224,12,90.0
5,6,-103.0071745,48.0128549,15.092413650757068,11,90.0
5,7,-103.0069657,48.0149104,15.545222911084714,12,90.0
5,1,-103.0109444,48.0147892,15.049901013830027,11,90.0
5,3,-103.0162331,48.0121131,13.855761042753223,11,90.0
5,2,-103.0192935,48.0158373,14.094757580702211,11,216.0
5,10,-103.0100873,48.0166027,15.51057271923426,12,90.0
5,8,-103.0195084,48.0167298,14.147968215035757,11,54.0
5,5,-103.0180103,48.0136738,13.886916821354525,11,90.0
5,4,-103.0181742,48.0109916,13.449151951610656,11,90.0
6,6,-103.0071745,48.0130168,15.125762492958943,11,108.0
6,10,-103.0100873,48.0164408,15.479891668344358,12,108.0
6,2,-103.0192935,48.0156754,14.071127649685483,11,234.0
6,9,-103.0083623,48.0164079,15.722690129813422,12,108.0
6,4,-103.0181742,48.0111535,13.474483615160013,11,108.0
6,7,-103.0069657,48.0150723,15.578968935358802,12,108.0
6,1,-103.0109444,48.0146273,15.019731543260498,11,108.0
6,3,-103.0162331,48.0122749,13.882227834513133,11,108.0
6,8,-103.0195084,48.0168917,14.171206447421369,11,72.0
7,2,-103.0192935,48.0155135,14.071127649685483,11,252.0
7,9,-103.0083623,48.016246,15.722690129813422,12,126.0
7,6,-103.0071745,48.0131787,15.125762492958943,11,126.0
7,4,-103.0181742,48.0113154,13.474483615160013,11,126.0
7,3,-103.0162331,48.0124368,13.882227834513133,11,126.0
7,10,-103.0100873,48.0162789,15.479891668344358,12,126.0
7,7,-103.0069657,48.0152342,15.578968935358802,12,126.0
7,8,-103.0195084,48.0170535,14.171206447421369,11,90.0
7,1,-103.0109444,48.0144654,15.019731543260498,11,126.0
8,3,-103.0162331,48.0125987,13.935114845242138,11,144.0
8,4,-103.0181742,48.0114773,13.525102770844029,11,144.0
8,9,-103.0083623,48.0160842,15.657967624679348,12,144.0
8,1,-103.0109444,48.0143035,14.959350129336118,11,144.0
8,10,-103.0100873,48.016117,15.418445068647193,12,144.0
8,8,-103.0195084,48.0172154,14.217504436386113,11,108.0
